SensoreFrontale;DifferenzaSxDxSensor;DifferenzaSxMinDxMinSensor;PosizioneRispettoAlCentro;AngoloLongTang;Cls
-1.0;0.0;0.0;1.42866;0.500058;3
-1.0;0.0;0.0;1.42869;0.50018;3
-1.0;0.0;0.0;1.42869;0.50024;3
-1.0;0.0;0.0;1.4287;0.50023;3
-1.0;0.0;0.0;1.42875;0.500319;3
-1.0;0.0;0.0;1.42899;0.500506;3
-1.0;0.0;0.0;1.42901;0.500474;3
-1.0;0.0;0.0;1.42909;0.500468;3
-1.0;0.0;0.0;1.42922;0.500502;3
-1.0;0.0;0.0;1.42926;0.500417;3
-1.0;0.0;0.0;1.42931;0.500466;3
-1.0;0.0;0.0;1.42947;0.500334;3
-1.0;0.0;0.0;1.42955;0.500245;3
-1.0;0.0;0.0;1.42963;0.500214;3
-1.0;0.0;0.0;1.4297;0.500177;3
-1.0;0.0;0.0;1.42973;0.500118;3
-1.0;0.0;0.0;1.4299;0.49995;3
-1.0;0.0;0.0;1.42992;0.499952;3
-1.0;0.0;0.0;1.43004;0.499814;3
-1.0;0.0;0.0;1.43012;0.499667;3
-1.0;0.0;0.0;1.43027;0.499502;3
-1.0;0.0;0.0;1.4303;0.499427;3
-1.0;0.0;0.0;1.43043;0.499253;3
-1.0;0.0;0.0;1.43058;0.498994;3
-1.0;0.0;0.0;1.43064;0.498966;3
-1.0;0.0;0.0;1.4307;0.498799;3
-1.0;0.0;0.0;1.43074;0.498781;3
-1.0;0.0;0.0;1.4309;0.498555;3
-1.0;0.0;0.0;1.43093;0.498469;3
-1.0;0.0;0.0;1.43096;0.498384;3
-1.0;0.0;0.0;1.43099;0.498366;3
-1.0;0.0;0.0;1.43106;0.49826;3
-1.0;0.0;0.0;1.43126;0.497939;3
-1.0;0.0;0.0;1.43132;0.497838;3
-1.0;0.0;0.0;1.43145;0.497626;3
-1.0;0.0;0.0;1.43169;0.497278;3
-1.0;0.0;0.0;1.43172;0.497188;3
-1.0;0.0;0.0;1.43175;0.497097;3
-1.0;0.0;0.0;1.43182;0.497052;3
-1.0;0.0;0.0;1.43199;0.496735;3
-1.0;0.0;0.0;1.43206;0.496619;3
-1.0;0.0;0.0;1.43222;0.496357;3
-1.0;0.0;0.0;1.43243;0.495932;3
-1.0;0.0;0.0;1.43249;0.495879;3
-1.0;0.0;0.0;1.43256;0.495685;3
-1.0;0.0;0.0;1.43338;0.49414;3
-1.0;0.0;0.0;1.43345;0.494077;3
-1.0;0.0;0.0;1.43359;0.493816;3
-1.0;0.0;0.0;1.43387;0.493284;3
-1.0;0.0;0.0;1.43412;0.492774;3
-1.0;0.0;0.0;1.43448;0.492084;3
-1.0;0.0;0.0;1.43459;0.491909;3
-1.0;0.0;0.0;1.43463;0.491806;3
-1.0;0.0;0.0;1.43477;0.491526;3
-1.0;0.0;0.0;1.43481;0.491422;3
-1.0;0.0;0.0;1.43484;0.491386;3
-1.0;0.0;0.0;1.43513;0.490832;3
-1.0;0.0;0.0;1.43517;0.490797;3
-1.0;0.0;0.0;1.43524;0.49059;3
-1.0;0.0;0.0;1.43528;0.490555;3
-1.0;0.0;0.0;1.43531;0.49052;3
-1.0;0.0;0.0;1.43542;0.490277;3
-1.0;0.0;0.0;1.43579;0.489576;3
-1.0;0.0;0.0;1.43611;0.488896;3
-1.0;0.0;0.0;1.43619;0.48882;3
-1.0;0.0;0.0;1.43633;0.488529;3
-1.0;0.0;0.0;1.43666;0.487848;3
-1.0;0.0;0.0;1.43677;0.487673;3
-1.0;0.0;0.0;1.43695;0.487289;3
-1.0;0.0;0.0;1.43702;0.487148;3
-1.0;0.0;0.0;1.4376;0.486027;3
-1.0;0.0;0.0;1.43781;0.485618;3
-1.0;0.0;0.0;1.43784;0.485515;3
-1.0;0.0;0.0;1.43813;0.484956;3
-1.0;0.0;0.0;1.43852;0.484217;3
-1.0;0.0;0.0;1.43873;0.48379;3
-1.0;0.0;0.0;1.4388;0.483649;3
-1.0;0.0;0.0;1.43898;0.48326;3
-1.0;0.0;0.0;1.43905;0.483189;3
-1.0;0.0;0.0;1.43927;0.482701;3
34.1428;14.226999999999997;33.2118;0.829788;0.413636;0
34.182;14.264300000000002;33.31229999999999;0.829817;0.413139;0
34.2601;14.336199999999998;33.5061;0.830095;0.412207;0
34.3244;14.395500000000002;33.6661;0.830327;0.411444;0
34.3719;14.439499999999999;33.7849;0.830492;0.410881;0
34.3969;14.462699999999998;33.8477;0.830578;0.410584;0
34.4491;14.511200000000002;33.9789;0.830753;0.409966;0
34.4761;14.536200000000001;34.046899999999994;0.830843;0.409647;0
34.4936;14.552700000000002;34.091499999999996;0.830888;0.409438;0
34.5616;14.616099999999996;34.263400000000004;0.83112;0.408638;0
34.6215;14.6722;34.4155;0.831311;0.407935;0
34.7072;14.752399999999998;34.6339;0.831593;0.406934;0
34.7364;14.779800000000002;34.7086;0.831687;0.406594;0
34.7474;14.790099999999999;34.736399999999996;0.831734;0.406469;0
34.7659;14.8077;34.7843;0.831782;0.40625;0
34.8241;14.862400000000004;34.9336;0.831971;0.405576;0
34.9594;14.990299999999998;35.283100000000005;0.832397;0.404014;0
35.0408;15.067200000000003;35.4934;0.832682;0.403087;0
35.1356;15.157499999999999;35.741;0.832965;0.402003;0
35.1766;15.1964;35.8481;0.833108;0.40154;0
35.1955;15.214500000000001;35.898;0.833156;0.401324;0
35.235;15.252099999999999;36.001099999999994;0.833298;0.40088;0
35.3145;15.328199999999999;36.2107;0.833537;0.399982;0
35.3727;15.383900000000004;36.3643;0.833726;0.39933;0
35.6853;15.685100000000002;37.1978;0.834727;0.395865;0
35.7561;15.753700000000002;37.3882;0.834966;0.395091;0
35.7752;15.772300000000001;37.4401;0.835013;0.39488;0
35.8179;15.813699999999997;37.5553;0.835157;0.394415;0
35.8379;15.833400000000005;37.610099999999996;0.835206;0.394193;0
35.9601;15.952499999999997;37.942400000000006;0.835588;0.392867;0
35.9783;15.970400000000001;37.99249999999999;0.835635;0.392668;0
36.0193;16.0103;38.104;0.835777;0.392229;0
36.0507;16.0411;38.1901;0.835873;0.39189;0
36.0825;16.072300000000002;38.2776;0.83597;0.391547;0
36.2063;16.194000000000003;38.618700000000004;0.836353;0.390222;0
36.2253;16.212899999999998;38.671800000000005;0.8364;0.390017;0
36.2363;16.2235;38.7016;0.836449;0.389903;0
36.2474;16.2344;38.7321;0.836496;0.389787;0
36.3101;16.2963;38.9061;0.836688;0.389121;0
36.3605;16.3462;39.0468;0.836832;0.388585;0
36.4115;16.3969;39.189800000000005;0.836975;0.388043;0
36.4351;16.4201;39.254799999999996;0.837072;0.3878;0
36.497;16.481499999999997;39.428399999999996;0.837263;0.38715;0
36.6234;16.6075;39.7846;0.837647;0.385828;0
36.687;16.670899999999996;39.964600000000004;0.83784;0.385167;0
36.7502;16.7341;40.144099999999995;0.83803;0.384512;0
36.8145;16.798700000000004;40.3274;0.838224;0.383848;0
36.8985;16.8832;40.5684;0.838465;0.382981;0
36.9312;16.9163;40.6625;0.838562;0.382645;0
36.9826;16.9682;40.81070000000001;0.838706;0.382118;0
37.1118;17.098899999999997;41.1845;0.839092;0.380803;0
37.3191;17.3096;41.789;0.839721;0.378716;0
37.3309;17.321299999999997;41.82299999999999;0.839769;0.378601;0
37.462;17.455599999999997;42.20949999999999;0.840156;0.377292;0
37.483;17.477199999999996;42.2722;0.840204;0.37708;0
37.594;17.590999999999998;42.601099999999995;0.840544;0.375984;0
37.6153;17.613100000000003;42.66539999999999;0.840592;0.375771;0
37.6489;17.647700000000004;42.7655;0.840689;0.37544;0
37.7269;17.728099999999998;42.99849999999999;0.840931;0.374677;0
37.7485;17.750499999999995;43.063900000000004;0.840979;0.374462;0
37.9955;18.006800000000002;43.810199999999995;0.841705;0.372063;0
38.0381;18.0516;43.941199999999995;0.841801;0.371646;0
38.1739;18.193499999999997;44.3571;0.842189;0.370342;0
38.1867;18.2068;44.3959;0.842238;0.370222;0
38.3109;18.3375;44.780100000000004;0.842576;0.369034;0
38.3926;18.4234;45.033;0.842819;0.368263;0
38.4486;18.482699999999998;45.20830000000001;0.842964;0.36773;0
38.6;18.643;45.6821;0.843401;0.366311;0
38.6346;18.6797;45.791000000000004;0.843498;0.365988;0
38.7268;18.777900000000002;46.082899999999995;0.843741;0.365126;0
38.753;18.8056;46.16479999999999;0.843838;0.364888;0
38.797;18.853;46.305899999999994;0.843935;0.364474;0
38.9152;18.979300000000002;46.6824;0.844275;0.363386;0
38.9866;19.056;46.91160000000001;0.84447;0.362729;0
39.057;19.131600000000002;47.138000000000005;0.844664;0.362086;0
39.1997;19.285600000000002;47.6002;0.845053;0.360787;0
39.2228;19.3109;47.676199999999994;0.845102;0.360574;0
39.2489;19.3387;47.7599;0.845199;0.360344;0
39.3803;19.481699999999996;48.190799999999996;0.845539;0.359155;0
39.4163;19.5208;48.3091;0.845637;0.358832;0
39.5621;19.68;48.791000000000004;0.846025;0.357529;0
39.7584;19.895100000000006;49.44510000000001;0.84656;0.355793;0
39.8054;19.947300000000006;49.6041;0.846657;0.355374;0
39.9801;20.139899999999997;50.1933;0.847143;0.35385;0
40.0041;20.166800000000002;50.275400000000005;0.847192;0.353638;0
40.1022;20.2759;50.610699999999994;0.847435;0.352783;0
40.2052;20.3902;50.9626;0.847727;0.351898;0
40.6623;20.903799999999997;52.5547;0.848896;0.348004;0
40.8024;21.062799999999996;53.0517;0.849236;0.346825;0
40.8169;21.079100000000004;53.10249999999999;0.849285;0.346706;0
40.894;21.166800000000002;53.3775;0.849479;0.346063;0
40.9727;21.256700000000002;53.6597;0.849674;0.345408;0
-1.0;0.0;0.0;1.48998;-1.63564;2
-1.0;0.0;0.0;1.48998;-1.63594;2
-1.0;0.0;0.0;1.48999;-1.63614;2
-1.0;0.0;0.0;1.49001;-1.63625;2
-1.0;0.0;0.0;1.49006;-1.63644;2
-1.0;0.0;0.0;1.4901;-1.63655;2
-1.0;0.0;0.0;1.4903;-1.63708;2
